count	ckey	example_surface	example_path	top_book
16	سال محمد بن مسلم ابا جعفر	سَأَلَ مُحَمَّدُ بْنُ مُسْلِمٍ أَبَا جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ :	books/man-la-yahduruhu-al-faqih/3/3/25/78.json	man-la-yahduruhu-al-faqih
15	ابيه محمد بن علي	أَبِيهِ مُحَمَّدِ بْنِ عَلِيٍّ،	books/al-amali-mufid/33/2/1.json	uyun-akhbar-al-rida
15	الحسين بن ابراهيم بن ناتانه	الحسين بن إبراهيم بن ناتانه (رحمه الله)، قال	books/al-amali-saduq/14/8.json	al-amali-saduq
15	الشيخ رحمه الله عن ابي القاسم جعفر بن محمد عن محمد بن يعقوب عن علي بن ابراهيم عن ابيه	أخَبرَنَيِ الشّيخُ رَحِمَهُ اللّهُ عَن أَبِي القَاسِمِ جَعفَرِ بنِ مُحَمّدٍ عَن مُحَمّدِ بنِ يَعقُوبَ عَن عَلِيّ بنِ اِبرَاهِيمَ عَن أَبِيهِ	books/al-istibsar/2/55/36.json	al-istibsar
15	ابن ابي عمير عمن ذكره	ابْنِ أَبِي عُمَيْرٍ عَمَّنْ ذَكَرَهُ	books/al-kafi/6/8/15/1.json	al-kafi
15	ابن عيسي	ابن عيسى،	books/mujam-al-ahadith-al-mutabara/4/1/11.json	mujam-al-ahadith-al-mutabara
15	ابيه عليهما السلام ان عليا عليه السلام كان	أَبِيهِ عَلَيْهِمَا اَلسَّلاَمُ أَنَّ عَلِيّاً عَلَيْهِ اَلسَّلاَمُ كَانَ	books/tahdhib-al-ahkam/9/1/53.json	tahdhib-al-ahkam
14	ابيه موسي بن جعفر	أَبِيهِ مُوسَى بْنِ جَعْفَرٍ،	books/al-amali-mufid/33/2/1.json	uyun-akhbar-al-rida
14	عبيد الله بن موسي	عُبَيْدِ اللَّهِ بْنِ مُوسَى	books/al-amali-saduq/62/9.json	kitab-al-ghayba-numani
14	اما ما رواه الحسين بن سعيد	أما ما رواه الحسين بن سعيد	books/al-istibsar/4/11/3.json	al-istibsar
