count	ckey	example_surface	example_path	top_book
1	محمد بن عبيد الله بن زراره	مُحَمَّدِ بْنِ عُبَيْدِ اَللَّهِ بْنِ زُرَارَةَ	books/tahdhib-al-ahkam/4/4/2.json	tahdhib-al-ahkam
1	حبيب الخزاعي	حَبِيبٍ اَلْخُزَاعِيِّ	books/tahdhib-al-ahkam/4/40/13.json	tahdhib-al-ahkam
1	سعدبن عبد الله	سَعْدُبْنُ عَبْدِ اَللَّهِ	books/tahdhib-al-ahkam/4/40/14.json	tahdhib-al-ahkam
1	الحسن بن نصر	اَلْحَسَنِ بْنِ نَصْرٍ	books/tahdhib-al-ahkam/4/40/19.json	tahdhib-al-ahkam
1	علي بن محمد بن يعقوب	عَلِيِّ بْنِ مُحَمَّدِ بْنِ يَعْقُوبَ	books/tahdhib-al-ahkam/4/40/21.json	tahdhib-al-ahkam
1	الحسين بن نصر بن مزاحم	اَلْحُسَيْنِ بْنِ نَصْرِ بْنِ مُزَاحِمٍ	books/tahdhib-al-ahkam/4/40/21.json	tahdhib-al-ahkam
1	محمد بن ابي غالب	مُحَمَّدِ بْنِ أَبِي غَالِبٍ	books/tahdhib-al-ahkam/4/40/23.json	tahdhib-al-ahkam
1	عبد الله بن علي بن القاسم البزاز	عَبْدِ اَللَّهِ بْنِ عَلِيِّ بْنِ اَلْقَاسِمِ اَلْبَزَّازِ	books/tahdhib-al-ahkam/4/40/25.json	tahdhib-al-ahkam
1	ابي الجارود زياد بن المنذر العبدي	أَبِي اَلْجَارُودِ زِيَادِ بْنِ اَلْمُنْذِرِ اَلْعَبْدِيِّ	books/tahdhib-al-ahkam/4/40/27.json	tahdhib-al-ahkam
1	القاسم بن محمد كاسولا	اَلْقَاسِمِ بْنِ مُحَمَّدٍ كَاسُولاَ	books/tahdhib-al-ahkam/4/40/28.json	tahdhib-al-ahkam
1	سليمان بن داود الشاذكوني	سُلَيْمَانَ بْنِ دَاوُدَ اَلشَّاذَكُونِيِّ	books/tahdhib-al-ahkam/4/40/28.json	tahdhib-al-ahkam
1	عبد الله بن بكير بن اعين	عَبْدِ اَللَّهِ بْنِ بُكَيْرِ بْنِ أَعْيَنَ	books/tahdhib-al-ahkam/4/40/29.json	tahdhib-al-ahkam
1	محمد بن غالب	مُحَمَّدِ بْنِ غَالِبٍ	books/tahdhib-al-ahkam/4/40/33.json	tahdhib-al-ahkam
1	ابي الصباح صبيح بن عبد الله	أَبِي اَلصَّبَّاحِ صَبِيحِ بْنِ عَبْدِ اَللَّهِ	books/tahdhib-al-ahkam/4/40/33.json	tahdhib-al-ahkam
1	صبار(1) مولي ابي عبد الله	صَبَّارٍ(1) مَوْلَى أَبِي عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ	books/tahdhib-al-ahkam/4/40/33.json	tahdhib-al-ahkam
1	يحيي بن زكريا بن شيبان	يَحْيَى بْنِ زَكَرِيَّا بْنِ شَيْبَانَ	books/tahdhib-al-ahkam/4/40/35.json	tahdhib-al-ahkam
1	فطر بن عبد الملك	فِطْرِ بْنِ عَبْدِ اَلْمَلِكِ	books/tahdhib-al-ahkam/4/40/36.json	tahdhib-al-ahkam
1	ابو الحسن محمد بن احمد بن داود	أبو الحسن محمد بن أحمد بن داود	books/tahdhib-al-ahkam/4/40/37.json	tahdhib-al-ahkam
1	ابو الحسن احمد بن محمد بن الحسن	أَبُو اَلْحَسَنِ أَحْمَدُ بْنُ مُحَمَّدِ بْنِ اَلْحَسَنِ	books/tahdhib-al-ahkam/4/40/40.json	tahdhib-al-ahkam
1	هذا الحديث ايضا محمد بن سنان	هَذَا اَلْحَدِيثَ أَيْضاً مُحَمَّدُ بْنُ سِنَانٍ	books/tahdhib-al-ahkam/4/40/44.json	tahdhib-al-ahkam
1	عن الحسن بن حذيفه	عَنِ اَلْحَسَنِ بْنِ حُذَيْفَةَ	books/tahdhib-al-ahkam/4/40/45.json	tahdhib-al-ahkam
1	رواه الكليني محمد بن يعقوب	رَوَاهُ اَلْكُلَيْنِيُّ مُحَمَّدُ بْنُ يَعْقُوبَ	books/tahdhib-al-ahkam/4/40/47.json	tahdhib-al-ahkam
1	اسماعيل بن الحر(1)	إِسْمَاعِيلَ بْنِ اَلْحُرِّ(1)	books/tahdhib-al-ahkam/4/40/53.json	tahdhib-al-ahkam
1	ابراهيم بن محمد المزني	إِبْرَاهِيمَ بْنِ مُحَمَّدٍ اَلْمُزَنِيِّ	books/tahdhib-al-ahkam/4/40/55.json	tahdhib-al-ahkam
1	ابي عبد الله عليه السلام كان	أَبِي عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ كَانَ	books/tahdhib-al-ahkam/4/40/58.json	tahdhib-al-ahkam
1	محمد الاشعري ابي خالد	مُحَمَّدٍ اَلْأَشْعَرِيِّ أَبِي خَالِدٍ	books/tahdhib-al-ahkam/4/40/6.json	tahdhib-al-ahkam
1	اليوم الذي يقضي من شهر رمضان	اَلْيَوْمِ اَلَّذِي يُقْضَى مِنْ شَهْرِ رَمَضَانَ	books/tahdhib-al-ahkam/4/40/9.json	tahdhib-al-ahkam
1	محمد بن الحسن بن ابي خالد يرفعه	مُحَمَّدِ بْنِ اَلْحَسَنِ بْنِ أَبِي خَالِدٍ يَرْفَعُهُ	books/tahdhib-al-ahkam/4/41/1.json	tahdhib-al-ahkam
1	عبد الله بن جابر	عَبْدِ اَللَّهِ بْنِ جَابِرٍ	books/tahdhib-al-ahkam/4/45/5.json	tahdhib-al-ahkam
1	المسمعي : انه سمع ابا عبد الله عليه السلام يوصي ولده «اذا دخل شهر رمضان فاجهدوا انفسكم فان	اَلْمِسْمَعِيِّ : أَنَّهُ سَمِعَ أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ يُوصِي وُلْدَهُ «إِذَا دَخَلَ شَهْرُ رَمَضَانَ فَأَجْهِدُوا أَنْفُسَكُمْ فَإِنَّ	books/tahdhib-al-ahkam/4/46/2.json	tahdhib-al-ahkam
1	عبد الله بن عبيد الله	عَبْدِ اَللَّهِ بْنِ عُبَيْدِ اَللَّهِ	books/tahdhib-al-ahkam/4/46/4.json	tahdhib-al-ahkam
1	احمد بن محمد بن ادريس	أَحْمَدَ بْنِ مُحَمَّدِ بْنِ إِدْرِيسَ	books/tahdhib-al-ahkam/4/46/5.json	tahdhib-al-ahkam
1	عبد السلام بن سالم	عَبْدِ اَلسَّلاَمِ بْنِ سَالِمٍ	books/tahdhib-al-ahkam/4/50/5.json	tahdhib-al-ahkam
1	ابي جعفر عليه السلام : «في رمضان تصلي ثم تفطر الا ان تكون مع قوم ينتظرون الافطار فان كنت معهم فلا تخالف عليهم	أَبِي جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ : «فِي رَمَضَانَ تُصَلِّي ثُمَّ تُفْطِرُ إِلاَّ أَنْ تَكُونَ مَعَ قَوْمٍ يَنْتَظِرُونَ اَلْإِفْطَارَ فَإِنْ كُنْتَ مَعَهُمْ فَلاَ تُخَالِفْ عَلَيْهِمْ	books/tahdhib-al-ahkam/4/50/6.json	tahdhib-al-ahkam
1	افطر ثم صل	أَفْطِرْ ثُمَّ صَلِّ	books/tahdhib-al-ahkam/4/50/6.json	tahdhib-al-ahkam
1	الا فابدا بالصلاه » قلت	إِلاَّ فَابْدَأْ بِالصَّلاَةِ » قُلْتُ	books/tahdhib-al-ahkam/4/50/6.json	tahdhib-al-ahkam
1	محمد بن عبد الله الرازي	مُحَمَّدِ بْنِ عَبْدِ اَللَّهِ اَلرَّازِيِّ	books/tahdhib-al-ahkam/4/50/7.json	tahdhib-al-ahkam
1	محمد بن الحسن بن ابي الجهم	مُحَمَّدِ بْنِ اَلْحَسَنِ بْنِ أَبِي اَلْجَهْمِ	books/tahdhib-al-ahkam/4/51/3.json	tahdhib-al-ahkam
1	ابو جعفر محمد بن علي بن الحسين بن بابويه	أَبُو جَعْفَرٍ مُحَمَّدُ بْنُ عَلِيِّ بْنِ اَلْحُسَيْنِ بْنِ بَابَوَيْهِ	books/tahdhib-al-ahkam/4/54/11.json	tahdhib-al-ahkam
1	براقه الاصبهاني	بَرَّاقَةَ اَلْأَصْبَهَانِيِّ	books/tahdhib-al-ahkam/4/54/27.json	tahdhib-al-ahkam
1	عبد الجبار بن مبارك	عَبْدِ اَلْجَبَّارِ بْنِ مُبَارَكٍ	books/tahdhib-al-ahkam/4/54/7.json	tahdhib-al-ahkam
1	سماعه بن مهران قالا: سالنا ابا عبد الله	سَمَاعَةَ بْنِ مِهْرَانَ قَالاَ: سَأَلْنَا أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ	books/tahdhib-al-ahkam/4/54/7.json	tahdhib-al-ahkam
1	الرجل يكون عليه صيام شهرين متتابعين فلم يقدر علي الصيام	اَلرَّجُلِ يَكُونُ عَلَيْهِ صِيَامُ شَهْرَيْنِ مُتَتَابِعَيْنِ فَلَمْ يَقْدِرْ عَلَى اَلصِّيَامِ	books/tahdhib-al-ahkam/4/54/7.json	tahdhib-al-ahkam
1	لم يقدر علي العتق	لَمْ يَقْدِرْ عَلَى اَلْعِتْقِ	books/tahdhib-al-ahkam/4/54/7.json	tahdhib-al-ahkam
1	لم يقدر علي الصدقه	لَمْ يَقْدِرْ عَلَى اَلصَّدَقَةِ	books/tahdhib-al-ahkam/4/54/7.json	tahdhib-al-ahkam
1	ابي جعفر عليه السلام قالا جميعا: سالنا ابا جعفر	أَبِي جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ قَالاَ جَمِيعاً: سَأَلْنَا أَبَا جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ	books/tahdhib-al-ahkam/4/54/9.json	tahdhib-al-ahkam
1	ابي اسحاق ابراهيم بن هاشم	أَبِي إِسْحَاقَ إِبْرَاهِيمَ بْنِ هَاشِمٍ	books/tahdhib-al-ahkam/4/56/14.json	tahdhib-al-ahkam
1	احمد ابني الحسن اخويه	أَحْمَدَ اِبْنَيِ اَلْحَسَنِ أَخَوَيْهِ	books/tahdhib-al-ahkam/4/56/20.json	tahdhib-al-ahkam
1	عن هارون بن مسلم	عَنْ هَارُونَ بْنِ مُسْلِمٍ	books/tahdhib-al-ahkam/4/56/21.json	tahdhib-al-ahkam
1	علي بن حكم	عَلِيِّ بْنِ حَكَمٍ	books/tahdhib-al-ahkam/4/56/24.json	tahdhib-al-ahkam
1	ابن ابي نجران (2)	اِبْنِ أَبِي نَجْرَانَ (2)	books/tahdhib-al-ahkam/4/56/3.json	tahdhib-al-ahkam
1	صفوان بن يحيي عمن رواه	صَفْوَانَ بْنِ يَحْيَى عَمَّنْ رَوَاهُ	books/tahdhib-al-ahkam/4/56/42.json	tahdhib-al-ahkam
1	محمد بن الحسن بن فضال	محمد بن الحسن بن فضال	books/tahdhib-al-ahkam/4/56/50.json	tahdhib-al-ahkam
1	يدل عليه ايضا ما رواه - الحسين بن سعيد	يَدُلُّ عَلَيْهِ أَيْضاً مَا رَوَاهُ - اَلْحُسَيْنُ بْنُ سَعِيدٍ	books/tahdhib-al-ahkam/4/56/56.json	tahdhib-al-ahkam
1	محمد بن عبد الله بن رافع	مُحَمَّدِ بْنِ عَبْدِ اَللَّهِ بْنِ رَافِعٍ	books/tahdhib-al-ahkam/4/56/61.json	tahdhib-al-ahkam
1	الرجل يسافر	اَلرَّجُلِ يُسَافِرُ	books/tahdhib-al-ahkam/4/56/7.json	tahdhib-al-ahkam
1	محمد بن ابي(1) العلاء	مُحَمَّدِ بْنِ أَبِي(1) اَلْعَلاَءِ	books/tahdhib-al-ahkam/4/57/11.json	tahdhib-al-ahkam
1	هارون (1)	هَارُونَ (1)	books/tahdhib-al-ahkam/4/57/6.json	tahdhib-al-ahkam
1	المغمي عليه شهرا او اربعين ليله	اَلْمُغْمَى عَلَيْهِ شَهْراً أَوْ أَرْبَعِينَ لَيْلَةً	books/tahdhib-al-ahkam/4/58/12.json	tahdhib-al-ahkam
1	فاما ما رواه - ابن ابي عمير	فَأَمَّا مَا رَوَاهُ - اِبْنُ أَبِي عُمَيْرٍ	books/tahdhib-al-ahkam/4/58/2.json	tahdhib-al-ahkam
1	ايضا ما رواه - محمد بن يعقوب	أَيْضاً مَا رَوَاهُ - مُحَمَّدُ بْنُ يَعْقُوبَ	books/tahdhib-al-ahkam/4/59/10.json	tahdhib-al-ahkam
1	ابي عبد الله عليهما السلام قالا: «في البقر	أَبِي عَبْدِ اَللَّهِ عَلَيْهِمَا اَلسَّلاَمُ قَالاَ: «فِي اَلْبَقَرِ	books/tahdhib-al-ahkam/4/6/1.json	tahdhib-al-ahkam
1	ابي عبد الله عليه السلام : انه كره للصايم ان يستاك بسواك رطب و	أَبِي عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ : أَنَّهُ كَرِهَ لِلصَّائِمِ أَنْ يَسْتَاكَ بِسِوَاكٍ رَطْبٍ وَ	books/tahdhib-al-ahkam/4/62/21.json	tahdhib-al-ahkam
1	محمد بن الفيض (1)	مُحَمَّدِ بْنِ اَلْفَيْضِ (1)	books/tahdhib-al-ahkam/4/62/37.json	tahdhib-al-ahkam
1	الحسن بن الصيقل	اَلْحَسَنِ بْنِ اَلصَّيْقَلِ	books/tahdhib-al-ahkam/4/62/39.json	tahdhib-al-ahkam
1	الحسين بن ابي غندر(1)	اَلْحُسَيْنِ بْنِ أَبِي غُنْدَرٍ(1)	books/tahdhib-al-ahkam/4/62/4.json	tahdhib-al-ahkam
1	ابي جعفر عليه السلام : انه سيل هل يباشر الصايم او يقبل	أَبِي جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ : أَنَّهُ سُئِلَ هَلْ يُبَاشِرُ اَلصَّائِمُ أَوْ يُقَبِّلُ	books/tahdhib-al-ahkam/4/63/14.json	tahdhib-al-ahkam
1	عبيد بن الحسين	عُبَيْدِ بْنِ اَلْحُسَيْنِ	books/tahdhib-al-ahkam/4/64/14.json	tahdhib-al-ahkam
1	عثمان (1) بن مروان	عُثْمَانَ (1) بْنِ مَرْوَانَ	books/tahdhib-al-ahkam/4/64/16.json	tahdhib-al-ahkam
1	الذي رواه - علي بن الحسن	اَلَّذِي رَوَاهُ - عَلِيُّ بْنُ اَلْحَسَنِ	books/tahdhib-al-ahkam/4/64/20.json	tahdhib-al-ahkam
1	الرجل يكون عليه ايام من شهر رمضان	اَلرَّجُلِ يَكُونُ عَلَيْهِ أَيَّامٌ مِنْ شَهْرِ رَمَضَانَ	books/tahdhib-al-ahkam/4/64/20.json	tahdhib-al-ahkam
1	يريد ان يقضيها متي يريد ان ينوي الصيام	يُرِيدُ أَنْ يَقْضِيَهَا مَتَى يُرِيدُ أَنْ يَنْوِيَ اَلصِّيَامَ	books/tahdhib-al-ahkam/4/64/20.json	tahdhib-al-ahkam
1	ما رواه ايضا - الحسين بن سعيد	مَا رَوَاهُ أَيْضاً - اَلْحُسَيْنُ بْنُ سَعِيدٍ	books/tahdhib-al-ahkam/4/64/34.json	tahdhib-al-ahkam
1	ذلك علي بن الحسن	ذَلِكَ عَلِيُّ بْنُ اَلْحَسَنِ	books/tahdhib-al-ahkam/4/65/11.json	tahdhib-al-ahkam
1	علي بن عمران	عَلِيِّ بْنِ عِمْرَانَ	books/tahdhib-al-ahkam/4/65/11.json	tahdhib-al-ahkam
1	ابي عبد الله عليهما السلام قالا: «لا تصم يوم عاشوراء	أَبِي عَبْدِ اَللَّهِ عَلَيْهِمَا اَلسَّلاَمُ قَالاَ: «لاَ تَصُمْ يَوْمَ عَاشُورَاءَ	books/tahdhib-al-ahkam/4/66/15.json	tahdhib-al-ahkam
1	لا يوم عرفه بمكه	لاَ يَوْمَ عَرَفَةَ بِمَكَّةَ	books/tahdhib-al-ahkam/4/66/15.json	tahdhib-al-ahkam
1	لا بالمدينه	لاَ بِالْمَدِينَةِ	books/tahdhib-al-ahkam/4/66/15.json	tahdhib-al-ahkam
1	احمد بن محمد عمن رواه	أَحْمَدَ بْنِ مُحَمَّدٍ عَمَّنْ رَوَاهُ	books/tahdhib-al-ahkam/4/66/4.json	tahdhib-al-ahkam
1	الذي رواه - علي بن الحسن بن فضال	اَلَّذِي رَوَاهُ - عَلِيُّ بْنُ اَلْحَسَنِ بْنِ فَضَّالٍ	books/tahdhib-al-ahkam/4/66/5.json	tahdhib-al-ahkam
1	محمد بن عبد الله بن الصيقل	مُحَمَّدِ بْنِ عَبْدِ اَللَّهِ بْنِ اَلصَّيْقَلِ	books/tahdhib-al-ahkam/4/68/2.json	tahdhib-al-ahkam
1	ابو عبد الله بن عياش	أبو عبد الله بن عياش	books/tahdhib-al-ahkam/4/68/4.json	tahdhib-al-ahkam
1	ابي عبد الله عليهما السلام : «في الشاه	أَبِي عَبْدِ اَللَّهِ عَلَيْهِمَا اَلسَّلاَمُ : «فِي اَلشَّاةِ	books/tahdhib-al-ahkam/4/7/1.json	tahdhib-al-ahkam
1	الحسين بن مخارق	اَلْحُسَيْنِ بْنِ مُخَارِقٍ	books/tahdhib-al-ahkam/4/70/4.json	tahdhib-al-ahkam
1	ابي جناده السلولي	أَبِي جُنَادَةَ اَلسَّلُولِيِّ	books/tahdhib-al-ahkam/4/70/4.json	tahdhib-al-ahkam
1	سندي بن محمد جميعهم	سِنْدِيِّ بْنِ مُحَمَّدٍ جَمِيعِهِمْ	books/tahdhib-al-ahkam/4/70/5.json	tahdhib-al-ahkam
1	يونس بن هشام	يُونُسَ بْنِ هِشَامٍ	books/tahdhib-al-ahkam/4/71/107.json	tahdhib-al-ahkam
1	زكريا بن يحيي الكندي الرقي	زَكَرِيَّا بْنِ يَحْيَى اَلْكِنْدِيِّ اَلرَّقِّيِّ	books/tahdhib-al-ahkam/4/71/109.json	tahdhib-al-ahkam
1	ابي ضمره انس بن عياض الليثي	أَبِي ضَمْرَةَ أَنَسِ بْنِ عِيَاضٍ اَللَّيْثِيِّ	books/tahdhib-al-ahkam/4/71/25.json	tahdhib-al-ahkam
1	سعد بن عبد الملك بن عمير	سَعْدِ بْنِ عَبْدِ اَلْمَلِكِ بْنِ عُمَيْرٍ	books/tahdhib-al-ahkam/4/71/25.json	tahdhib-al-ahkam
1	هارون بن الحسن بن جبله	هَارُونَ بْنِ اَلْحَسَنِ بْنِ جَبَلَةَ	books/tahdhib-al-ahkam/4/71/28.json	tahdhib-al-ahkam
1	خلاد بن عماره	خَلاَّدِ بْنِ عُمَارَةَ	books/tahdhib-al-ahkam/4/71/32.json	tahdhib-al-ahkam
1	جعفر بن المثني	جَعْفَرِ بْنِ اَلْمُثَنَّى	books/tahdhib-al-ahkam/4/71/36.json	tahdhib-al-ahkam
1	محمد بن عيسي بن ابي بدر	مُحَمَّدِ بْنِ عِيسَى بْنِ أَبِي بَدْرٍ	books/tahdhib-al-ahkam/4/71/40.json	tahdhib-al-ahkam
1	بعض الكوفيين يرفعه	بَعْضِ اَلْكُوفِيِّينَ يَرْفَعُهُ	books/tahdhib-al-ahkam/4/71/42.json	tahdhib-al-ahkam
1	ابايه عليهم السلام : ان عليا عليه السلام سيل	آبَائِهِ عَلَيْهِمُ اَلسَّلاَمُ : أَنَّ عَلِيّاً عَلَيْهِ اَلسَّلاَمُ سُئِلَ	books/tahdhib-al-ahkam/4/71/61.json	tahdhib-al-ahkam
1	الذباب يدخل	اَلذُّبَابِ يَدْخُلُ	books/tahdhib-al-ahkam/4/71/61.json	tahdhib-al-ahkam
1	ما رواه - محمد بن مسلم	مَا رَوَاهُ - مُحَمَّدُ بْنُ مُسْلِمٍ	books/tahdhib-al-ahkam/4/71/80.json	tahdhib-al-ahkam
1	اسحاق ابني سليمان بن داود	إِسْحَاقَ اِبْنَيْ سُلَيْمَانَ بْنِ دَاوُدَ	books/tahdhib-al-ahkam/4/71/89.json	tahdhib-al-ahkam
1	رجلين قام احدهما يصلي حتي اصبح	رَجُلَيْنِ قَامَ أَحَدُهُمَا يُصَلِّي حَتَّى أَصْبَحَ	books/tahdhib-al-ahkam/4/71/96.json	tahdhib-al-ahkam
1	الاخر جالس يدعو ايهما افضل	اَلْآخَرُ جَالِسٌ يَدْعُو أَيُّهُمَا أَفْضَلُ	books/tahdhib-al-ahkam/4/71/96.json	tahdhib-al-ahkam
1	علي اخويه	عَلِيٍّ أَخَوَيْهِ	books/tahdhib-al-ahkam/4/71/97.json	tahdhib-al-ahkam
1	القاسم بن الحسين	اَلْقَاسِمِ بْنِ اَلْحُسَيْنِ	books/tahdhib-al-ahkam/4/71/98.json	tahdhib-al-ahkam
1	الحسين بن عاصم بن يونس	اَلْحُسَيْنِ بْنِ عَاصِمِ بْنِ يُونُسَ	books/tahdhib-al-ahkam/4/71/98.json	tahdhib-al-ahkam
1	ابي عبد الله عليهما السلام انهما قالا: «مال اليتيم ليس عليه	أَبِي عَبْدِ اَللَّهِ عَلَيْهِمَا اَلسَّلاَمُ أَنَّهُمَا قَالاَ: «مَالُ اَلْيَتِيمِ لَيْسَ عَلَيْهِ	books/tahdhib-al-ahkam/4/8/13.json	tahdhib-al-ahkam
1	احمد بن عمر بن ابي شعبه	أَحْمَدَ بْنِ عُمَرَ بْنِ أَبِي شُعْبَةَ	books/tahdhib-al-ahkam/4/8/5.json	tahdhib-al-ahkam
1	ابي العطارد الحناط	أَبِي اَلْعُطَارِدِ اَلْحَنَّاطِ	books/tahdhib-al-ahkam/4/8/9.json	tahdhib-al-ahkam
1	عبد الله بن بكير عمن رواه (1)	عَبْدِ اَللَّهِ بْنِ بُكَيْرٍ عَمَّنْ رَوَاهُ (1)	books/tahdhib-al-ahkam/4/9/1.json	tahdhib-al-ahkam
1	سلمه بن حيان	سَلَمَةَ بْنِ حَيَّانَ	books/tahdhib-al-ahkam/3/1/11.json	tahdhib-al-ahkam
1	الحسين بن عبد الملك الاحول	اَلْحُسَيْنِ بْنِ عَبْدِ اَلْمَلِكِ اَلْأَحْوَلِ	books/tahdhib-al-ahkam/3/1/13.json	tahdhib-al-ahkam
1	ربعي رفعاه	رِبْعِيٍّ رَفَعَاهُ	books/tahdhib-al-ahkam/3/1/14.json	tahdhib-al-ahkam
1	احمد بن دويل بن هارون	أَحْمَدَ بْنِ دُوَيْلِ بْنِ هَارُونَ	books/tahdhib-al-ahkam/3/1/22.json	tahdhib-al-ahkam
1	عبد الرحمن بن عجلان	عَبْدِ اَلرَّحْمَنِ بْنِ عَجْلاَنَ	books/tahdhib-al-ahkam/3/1/30.json	tahdhib-al-ahkam
1	علي بن الحسين الضرير	عَلِيِّ بْنِ اَلْحُسَيْنِ اَلضَّرِيرِ	books/tahdhib-al-ahkam/3/1/62.json	tahdhib-al-ahkam
1	عمر بن اذينه عمن اخبره	عُمَرَ بْنِ أُذَيْنَةَ عَمَّنْ أَخْبَرَهُ	books/tahdhib-al-ahkam/3/14/10.json	tahdhib-al-ahkam
1	ابي جعفر عليه السلام : انه سيل ما حد المرض الذي يضطر صاحبه	أَبِي جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ : أَنَّهُ سُئِلَ مَا حَدُّ اَلْمَرَضِ اَلَّذِي يُضْطَرُّ صَاحِبُهُ	books/tahdhib-al-ahkam/3/14/10.json	tahdhib-al-ahkam
1	المرض الذي يدع صاحبه	اَلْمَرَضِ اَلَّذِي يَدَعُ صَاحِبُهُ	books/tahdhib-al-ahkam/3/14/10.json	tahdhib-al-ahkam
1	الفضيل قالا: قلنا له الصلاه	اَلْفُضَيْلِ قَالاَ: قُلْنَا لَهُ اَلصَّلاَةُ	books/tahdhib-al-ahkam/3/2/2.json	tahdhib-al-ahkam
1	عبد الله بن القاسم ذكره عمن حدثه	عَبْدِ اَللَّهِ بْنِ اَلْقَاسِمِ ذَكَرَهُ عَمَّنْ حَدَّثَهُ	books/tahdhib-al-ahkam/3/20/5.json	tahdhib-al-ahkam
1	زراره انهما سمعا ابا جعفر	زُرَارَةَ أَنَّهُمَا سَمِعَا أَبَا جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ	books/tahdhib-al-ahkam/3/21/1.json	tahdhib-al-ahkam
1	غياث مرسلا	غِيَاثٍ مُرْسَلاً	books/tahdhib-al-ahkam/3/21/11.json	tahdhib-al-ahkam
1	رواه سعد	رَوَاهُ سَعْدٌ	books/tahdhib-al-ahkam/3/21/11.json	tahdhib-al-ahkam
1	علي عليه السلام : «انه كان لا يرفع يده	عَلِيٍّ عَلَيْهِ اَلسَّلاَمُ : «أَنَّهُ كَانَ لاَ يَرْفَعُ يَدَهُ	books/tahdhib-al-ahkam/3/21/11.json	tahdhib-al-ahkam
1	ابيه عليهما السلام : «ان عليا عليه السلام كان اذا صلي علي جنازه لم يبرح من مصلاه حتي يراها علي ايدي الرجال »	أَبِيهِ عَلَيْهِمَا اَلسَّلاَمُ : «أَنَّ عَلِيّاً عَلَيْهِ اَلسَّلاَمُ كَانَ إِذَا صَلَّى عَلَى جِنَازَةٍ لَمْ يَبْرَحْ مِنْ مُصَلاَّهُ حَتَّى يَرَاهَا عَلَى أَيْدِي اَلرِّجَالِ ».	books/tahdhib-al-ahkam/3/21/15.json	tahdhib-al-ahkam
1	ابي عبد الله عليه السلام : «ان رجلا من المنافقين مات فخرج الحسين بن علي عليه السلام يمشي معه فلقيه مولي له	أَبِي عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ : «أَنَّ رَجُلاً مِنَ اَلْمُنَافِقِينَ مَاتَ فَخَرَجَ اَلْحُسَيْنُ بْنُ عَلِيٍّ عَلَيْهِ اَلسَّلاَمُ يَمْشِي مَعَهُ فَلَقِيَهُ مَوْلًى لَهُ	books/tahdhib-al-ahkam/3/21/20.json	tahdhib-al-ahkam
1	ابي عبد الله عليه السلام : انه سيل عمن صلي عليه فلما سلم الامام فاذا الميت مقلوب رجلاه	أَبِي عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ : أَنَّهُ سُئِلَ عَمَّنْ صُلِّيَ عَلَيْهِ فَلَمَّا سَلَّمَ اَلْإِمَامُ فَإِذَا اَلْمَيِّتُ مَقْلُوبٌ رِجْلاَهُ	books/tahdhib-al-ahkam/3/22/15.json	tahdhib-al-ahkam
1	موضع راسه	مَوْضِعِ رَأْسِهِ	books/tahdhib-al-ahkam/3/22/15.json	tahdhib-al-ahkam
1	ابيه عليهما السلام : «انه كان يقصر الصلاه حين يخرج من الكوفه	أَبِيهِ عَلَيْهِمَا اَلسَّلاَمُ : «أَنَّهُ كَانَ يُقَصِّرُ اَلصَّلاَةَ حِينَ يَخْرُجُ مِنَ اَلْكُوفَةِ	books/tahdhib-al-ahkam/3/24/116.json	tahdhib-al-ahkam
1	اسماعيل بن مرار(1)	إِسْمَاعِيلَ بْنِ مَرَّارٍ(1)	books/tahdhib-al-ahkam/3/24/18.json	tahdhib-al-ahkam
1	موسي بن حمزه بن بزيع	مُوسَى بْنِ حَمْزَةَ بْنِ بَزِيعٍ	books/tahdhib-al-ahkam/3/24/19.json	tahdhib-al-ahkam
1	الحسن بن علي بن عباس بن عامر	اَلْحَسَنِ بْنِ عَلِيِّ بْنِ عَبَّاسِ بْنِ عَامِرٍ	books/tahdhib-al-ahkam/3/24/42.json	tahdhib-al-ahkam
1	ابن مسلم قالا: قلنا لابي جعفر عليه السلام رجل صلي	اِبْنِ مُسْلِمٍ قَالاَ: قُلْنَا لِأَبِي جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ رَجُلٌ صَلَّى	books/tahdhib-al-ahkam/3/24/71.json	tahdhib-al-ahkam
1	محمد بن اسحاق بن عمار: سالت ابا الحسن	مُحَمَّدِ بْنِ إِسْحَاقَ بْنِ عَمَّارٍ: سَأَلْتُ أَبَا اَلْحَسَنِ عَلَيْهِ اَلسَّلاَمُ	books/tahdhib-al-ahkam/3/24/72.json	tahdhib-al-ahkam
